math score,reading score,writing score,placement score,club join year,placement offer count
62,76,75,99,2018,3
79,76,70,96,2019,3
78,95,69,84,2018,2
69,92,71,81,2020,2
76,95,61,88,2018,3
,85,77,78,2021,2
71,82,62,,2019,3
77,87,,97,2021,3
77,93,67,87,2018,3
62,90,64,89,,3
75,91,79,86,2021,
72,92,64,76,2020,2
64,,79,96,2019,3
70,92,73,90,2021,3
67,93,80,96,2019,3
73,88,80,78,2021,2
73,78,67,,2018,2
63,,61,95,2018,3
67,79,67,94,2018,3
65,80,65,94,2020,3
63,85,,92,2020,
,91,63,80,2019,2
63,80,77,98,2021,3
68,88,62,92,2021,3
71,86,77,76,2020,2
78,89,78,91,,3
62,76,75,82,2021,2
78,93,78,92,2020,3
66,80,71,79,2020,2
73,82,78,100,2018,3
